ID,MM1,MM2,MM3,MM4,MV1,MV2,MV3,UM1,UM2,UM3,UM4,UM5
P503,223,156,164,95,245,104,136,146,226,98,225,157
P504,1504,1020,609,1036,1198,1096,556,958,1347,823,1501,986
P505,56,95,149,433,113,394,338,137,173,104,92,101
P506,60,0,0,0,115,0,0,100,70,51,136,93
P507,30,138,41,172,74,77,67,64,35,24,77,48
P508,406,533,295,256,481,230,389,465,419,410,365,424
P509,13,26,8,41,17,25,0,7,14,16,11,6
P51,12,18,0,0,9,0,0,33,0,8,0,21
P510,8291,8425,7828,7838,8592,8125,8391,7864,8396,8035,8121,8137
P511,52,8114,30,56,22,6540,62,19,27,15,4,7
P512,7591,7318,7221,7068,7498,7211,7169,7384,7175,7333,7012,7040
P513,6838,6590,6307,6695,6917,6603,6611,6927,6860,6999,6660,6871
P514,1105,780,504,509,1287,874,765,1260,935,1157,1063,1003
P515,689,46,560,572,73,472,262,41,265,416,661,66
P516,53,67,19,115,33,82,30,42,85,29,109,22
P517,87,254,129,58,66,229,28,147,63,159,141,189
P518,221,246,233,279,240,179,130,227,296,261,273,231
P519,50,45,990,652,68,22,154,34,1226,24,26,40
P52,160,144,121,315,174,221,123,227,226,206,244,247
P520,295,345,339,182,263,325,306,257,257,247,355,202
P521,35,76,61,18,34,0,23,39,62,50,37,13
P522,35,42,8,28,39,36,11,10,29,36,9,12
P523,17,7,0,0,15,0,0,8,7,0,13,11
P524,107,76,56,114,24,217,354,142,55,206,106,99
P525,1360,646,1343,869,1026,915,1151,1162,1310,1152,1216,805
P526,38,31,49,0,30,67,0,323,9,18,26,14
P527,653,559,709,491,561,628,624,604,537,533,692,532
P528,820,1219,2043,797,1353,1019,1080,1397,865,896,969,1326
P529,13,4,11,0,11,0,0,6,8,12,8,8
P53,570,555,622,481,573,555,498,631,653,668,556,591
P530,13,4,0,0,10,0,0,6,0,0,0,8
P531,159,143,32,207,89,102,192,222,175,182,136,106
P532,10,0,0,0,20,0,0,0,13,0,0,5
P533,97,106,157,72,70,71,129,77,25,48,80,40
P534,8,8,762,1350,5,11,1035,1419,11,1275,6,1255
P535,58,35,60,0,130,26,85,81,34,63,76,48
P536,252,285,333,116,272,208,227,282,365,191,177,347
P538,15,31,10,47,20,30,0,8,16,18,13,7
P539,16,45,11,54,31,66,22,18,21,51,19,9
P54,670,643,824,586,661,635,582,738,740,781,647,712
P540,37,30,47,192,29,113,144,309,9,18,27,14
P541,219,169,115,217,163,272,108,251,372,238,237,273
P542,547,436,343,431,503,441,442,436,485,546,458,609
P543,3841,3993,3847,3935,4108,3815,3981,3895,4094,3768,3828,4003
P544,431,248,413,476,202,213,272,314,342,300,266,377
P545,396,221,366,441,190,197,255,285,310,278,251,336
P546,8195,7889,7247,8580,8163,7331,7143,7977,8120,8245,7187,8236
P547,8441,8935,8464,8768,8352,7981,7863,8593,8791,7991,8016,8445
P548,22,43,191,0,5,44,0,26,46,32,27,36
P549,3245,3213,3105,2982,3308,2706,3080,3086,3120,3007,3042,3093
P55,6226,6087,6005,6185,6483,6309,6575,6445,6293,6477,6064,6876
P550,3001,2988,3022,2959,3048,2855,3286,2734,2916,2722,2930,2696
P551,436,531,692,249,642,448,792,585,648,633,322,377
P552,110,1553,2306,2336,2043,2188,2276,1505,23,153,35,203
P553,100,185,62,76,542,296,653,260,243,167,148,251
P554,14,0,0,0,36,0,0,1,0,0,0,0
P555,2,0,0,0,3,13,0,5,5,2,2,4
P556,21,77,0,190,35,17,0,21,24,55,11,40
P557,10,57,0,55,25,13,104,15,8,36,9,29
